"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Auckland","158,626","159,191","161,219","158,536","164,417","156,325","157,201","156,655","156,062","157,141","153,092","153,561",
"Christchurch","155,656","148,506","138,233","135,963","148,320","136,249","125,611","121,469","109,444","107,754","112,568","105,760",
"Dunedin","26,326","24,143","31,903","40,939","55,321","53,602","44,003","29,229","25,328","22,758","22,750","23,276",
"Gisborne","24,804","24,768","23,970","25,279","24,341","23,955","22,174","22,459","19,594","17,671","15,897","16,003",
"Hamilton","60,197","86,511","97,165","139,939","151,109","148,380","99,308","110,419","128,744","135,404","129,050","127,044",
"Invercargill","31,422","25,823","23,615","23,427","25,332","25,805","29,279","30,840","28,491","23,058","19,960","15,910",
"Milford Sound","16,058","17,726","16,440","17,473","15,876","","","","","","","",
"Napier","25,154","24,842","23,445","24,381","27,948","24,114","27,172","27,332","25,242","24,386","22,728","21,268",
"Nelson","62,856","65,543","57,446","51,287","47,931","48,273","51,570","50,094","48,073","45,677","46,770","45,180",
"New Plymouth","31,917","33,002","32,285","39,444","45,773","43,518","37,097","32,791","30,773","24,910","21,831","19,678",
"Ohakea","41,314","41,751","45,107","71,085","73,513","72,997","61,896","55,726","30,959","28,807","36,512","29,632",
"Palmerston North","53,140","52,143","59,074","88,817","82,776","58,761","56,439","65,708","67,395","55,960","52,655","49,494",
"Paraparaumu","","","","","","","","12,832","33,702","31,241","24,279","26,115",
"Queenstown","52,653","53,469","51,146","49,015","50,445","45,966","42,347","41,769","43,776","43,012","45,620","49,794",
"Rotorua","22,957","21,287","22,388","26,856","29,657","20,734","23,380","22,682","22,092","22,532","20,143","19,256",
"Taupō","39,076","39,640","34,760","32,902","34,696","30,680","28,774","26,376","25,536","23,814","22,642","22,009",
"Tauranga","77,521","85,010","94,207","97,631","105,992","97,144","86,935","74,400","72,652","70,450","58,448","52,662",
"Wellington","120,937","119,275","120,587","121,308","122,206","111,969","109,193","105,988","102,488","101,279","96,084","99,053",
"Whenuapai","14,143","14,771","17,139","15,468","12,372","","","","","","","",
"Woodbourne","21,470","24,642","23,980","25,711","25,405","24,058","22,829","23,660","22,689","21,826","20,451","22,374",
"Total (for certified aerodromes)","1,036,227","1,062,043","1,074,109","1,185,461","1,243,430","1,122,530","1,025,208","1,010,429","993,040","957,680","921,480","898,069",
